id,claim,type,verifier,status
C12,"Wright's Law (experience curve): unit cost falls a roughly constant % per doubling of cumulative production; validated across 62 technologies (Nagy/Farmer/Bui/Trancik 2013) and ~51 (Lafond et al. 2018); WWII demand shock is a natural experiment establishing causal direction experience->cost; solar ~20% per doubling (PLoS ONE 2013; Technological Forecasting & Social Change 2018; Our World in Data)",CITE,citation_audit.md,SOURCED-PENDING
C13,"Power/grid interconnection is the dominant binding constraint on US AI-compute scaling: data-center grid demand ~61.8 GW (2025) -> ~134.4 GW (2030); DOE ~100 GW new peak by 2030 (~half data centers); ~2,300 GW stuck in interconnection queues; connection 4-10 yr vs 2-3 yr builds (S&P 451 Research; DOE; Goldman Sachs; Brookings; WEF/DNV)",CITE,citation_audit.md,SOURCED-PENDING
C14,"Robotics buildout is gated by China-controlled physical supply: ~88-91% of refined rare earths, ~90% of magnet processing; Optimus Gen 2 ~3x cost without Chinese suppliers ($46k -> $131k BOM); Western mine development ~17.8 yr avg — not decouplable by 2030 (McKinsey; Morgan Stanley BluePaper 2026; Merics)",CITE,citation_audit.md,SOURCED-PENDING
C15,"US skilled-trades shortage is a binding cross-cutting constraint: electricians named the top data-center bottleneck (Nvidia, Microsoft); ~300k+ needed vs ~20k/yr retiring; construction shortfall ~340k-499k by end-2026; electrical = 45-70% of build cost (JLL; BLS; Fortune)",CITE,citation_audit.md,SOURCED-PENDING
C16,"Capital is not the binding input; the gating constraints are power, then labor, then components — repeatedly stated as 'not capital or land' (Datacenter Knowledge; Goldman/Hanwha)",CITE,citation_audit.md,SOURCED-PENDING
C17,"For a ~2030 horizon, deployment levers rank by leverage: (1) bottleneck-removal (FERC load-interconnection reform, onsite generation, demand-flexible siting); (2) federal industrial policy (DoD-equity/offtake model, recycling + allied sourcing + rare-earth-free magnets, trades training/vocational Pell); (3) private capital/market design last, because capital is abundant — counter-view: state-led bottleneck-clearing risks misallocation/capture, markets may clear power faster than FERC, and 2030 may be infeasible regardless of lever choice",ARGUMENT,counter-view stated inline,OPEN-ARGUMENT
C18,"The US clears the power-grid and skilled-trades constraints enough to support meaningful AI+robotics capacity by ~2030 (achievable horizon)",FORECAST,"signpost: 2030 — [grid capacity-add TBD] + [trades-gap-closure TBD]",OPEN-UNVERIFIED
C19,"Domestic + allied rare-earth-magnet supply covers [X% TBD] of US robotics-component demand by 2030; given ~17.8-yr mine timelines, likely only partially met — signpost set to reveal residual China-dependence, not flatter it",FORECAST,"signpost: 2030 — [domestic+allied share of magnet demand TBD]",OPEN-UNVERIFIED
C20,"MPC falls as income rises (top group's MPC out of transitory income ~zero; ~half the population at ~zero, Jappelli-Pistaferri 2014); upward redistribution mechanically reduces aggregate consumption (Stiglitz; Summers reviving Hansen underconsumption) (Jappelli & Pistaferri 2014; Stiglitz 2019; Summers 2015; EPI; Fed FEDS 2018)",CITE,citation_audit.md,SOURCED-PENDING
C21,"Macro magnitude of the inequality->demand drag is contested: Auclert-Rognlie find the long-run output effect small under fixed-effect inequality but ~2% under income-risk/volatility inequality; a falling labor share can mitigate stagnation via one channel; policy and other demand components can offset (Auclert & Rognlie 2016/2020, NBER w24280)",CITE,citation_audit.md,CONTESTED-MAGNITUDE
C22,"Automation-driven displacement is the income-risk/volatility case where the demand drag is largest by Auclert-Rognlie's own logic; therefore broad income is an input to keeping the Wright's-Law production loop compounding, not a transfer away from it — counter-view: AR's headline finding is that the general effect is small, other demand channels and fiscal/monetary policy can offset, and the automation-specific extension is ours not theirs",ARGUMENT,counter-view stated inline,OPEN-ARGUMENT
C23,"Crypto is a delivery rail + proof-of-personhood layer for distribution, not the structural plug for asset-escape; flagship crypto-UBI project (World/Worldcoin) dropped the UBI framing by 2026 (leans on existing Worldcoin CITE C06) — counter-view: programmable transfers, censorship-resistance, and financial inclusion may have independent value",ARGUMENT,counter-view stated inline,OPEN-ARGUMENT
C24,"Social wealth fund mechanics: non-transferable per-citizen share + universal basic dividend from returns; dividend ~4-5% of a 5-yr moving average of fund value ($10T fund -> ~$400B/yr -> 'several thousand per person per year', Bruenig); capitalization via corporate share levies / wealth + inheritance taxes / leasing public assets / carbon + financial-transaction taxes / money creation; Alaska APF ~$60B ~113% of state GDP, US-equivalent ratio ~$22.6T — gradual accumulation, modest near-term dividend (Bruenig/PPP; BIEN; In These Times; Democracy Collaborative)",CITE,citation_audit.md,SOURCED-PENDING
C25,"LVT efficiency: fixed land supply -> ~no deadweight loss; burden falls on landowner, not passed to tenants; broad cross-ideological acceptance among economists familiar with it (medianism/Wikipedia; encyclopedia.pub; Nielsson (Syracuse); American Affairs)",CITE,citation_audit.md,SOURCED-PENDING
C26,"LVT's documented holes: assessment difficulty separating land from improvements; the search/discovery distortion (Caplan-Gochenour); transition/expropriation of current owners (Tullock transitional-gains trap) requiring decade-long phase-in (Caplan/Econlib; Econlib transition; Grokipedia)",CITE,citation_audit.md,SOURCED-PENDING
C27,"The prescription's design logic: (a) fund the floor from the asset base, not currency debasement (the section-3 escape-gap logic); (b) as automation raises the capital share, the SWF routes that rising share to high-MPC citizen-owners (demand-input tie-back to C22); (c) LVT as the land-specific plug, phased in to absorb the transition shock; (d) dividend scales with fund size, so gradual, not an overnight UBI — counter-view: a ~$22.6T fund can't be accumulated quickly so near-term dividends are modest, public capital allocation invites politicization/capture, LVT assessment + search-distortion + transition costs are real, wealth/market-cap taxes face mobility and valuation problems, and a federal LVT or wealth tax raises an unresolved US constitutional direct-tax/apportionment question (open question, not a settled holding)",ARGUMENT,counter-view stated inline,OPEN-ARGUMENT
